ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Class
367,12,12,0,100,100,16.67,50,8.33,8.33,8.33,0,0,0,0,0,8.33,8.33,8.33,0,8.33,0,25,8.33,8.33,0,8.33,0,0,0,0,0,0,16.67,8.33,8.33,8.33,0,0,33.33,0,0,0,8.33,0,0,8.33,16.67,0,0,0,0,8.33,0,8.33,0,0,8.33,0,8.33,0,0,0,0,0,0,16.67,0,0,0,0,1
368,12,12,0,100,41.67,41.67,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,0,0,0,1
369,9,9,0,100,66.67,66.67,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,22.22,22.22,0,11.11,0,0,11.11,0,0,0,1
370,7,7,0,57.14,57.14,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,28.57,0,0,0,0,0,0,0,14.29,0,0,0,1
371,50,50,0,86,74,20,40,6,2,0,0,0,0,2,4,10,10,6,8,2,0,4,8,0,2,4,0,0,6,0,0,0,8,2,6,0,6,0,14,0,0,0,0,4,4,0,6,2,0,2,0,2,0,0,2,0,12,2,4,4,4,2,0,0,2,0,2,0,0,0,0
372,17,4.25,0,82.35,88.24,29.41,58.82,23.53,5.88,5.88,0,0,0,0,17.65,0,11.76,0,0,11.76,0,11.76,23.53,0,0,0,0,0,5.88,0,0,5.88,5.88,0,5.88,0,0,0,17.65,0,0,5.88,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41,5.88,23.53,0,0,0,0,0,0,0,0,0,0,0,1
373,7,7,0,100,71.43,42.86,42.86,14.29,14.29,0,14.29,0,0,0,0,0,14.29,0,0,14.29,0,14.29,28.57,0,0,0,0,0,42.86,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,11,11,0,100,72.73,63.64,36.36,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,18.18,0,9.09,0,0,0,9.09,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,27.27,0,0,0,0,0,0,0,18.18,0,0,0,1
375,53,53,0,54.72,35.85,15.09,22.64,0,0,0,0,0,0,0,0,1.89,3.77,3.77,0,3.77,0,3.77,5.66,3.77,0,1.89,22.64,0,3.77,0,0,3.77,0,0,0,0,0,0,5.66,0,0,0,0,1.89,0,3.77,0,0,0,0,0,0,0,0,0,0,9.43,0,9.43,0,0,0,0,0,0,0,3.77,0,0,0,1
376,13,13,0,92.31,92.31,15.38,76.92,23.08,15.38,15.38,0,0,0,0,7.69,7.69,15.38,15.38,0,15.38,0,15.38,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,7.69,0,0,7.69,0,0,7.69,15.38,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,1
377,10,10,0,100,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,10,0,0,0,1
378,41,41,0,78.05,73.17,26.83,43.9,7.32,4.88,2.44,0,0,2.44,0,2.44,14.63,2.44,0,2.44,0,0,0,19.51,0,0,4.88,0,0,14.63,0,2.44,0,7.32,2.44,4.88,0,4.88,0,4.88,0,0,2.44,2.44,0,0,0,0,2.44,0,0,0,4.88,0,0,4.88,0,12.2,0,7.32,4.88,2.44,0,0,2.44,0,0,2.44,0,0,0,0
379,7,7,0,100,42.86,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,1
380,8,8,0,100,50,37.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,12.5,12.5,0,0,0,1
